Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_GSL_EX,?,7.740221615,5.160449123,0.887265738,,,
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_GSL_HEV_EX,?,0.057281658,0.055097174,0.009904835,,,
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_GSL_PHEV35_EX,?,0.011969217,0.013215186,0.000558507,,,
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_GSL_PHEV35_N,?,27.72709803,34.48196447,41.37446992,17.33027514,8.175029767,1.892463578
Temoa,nz,AB,Activity|transportation|T_LDV_M_BEV_N,?,0.170012981,0.482083965,0.7191259,0.849417871,0.905620913,0.969708371
Temoa,nz,AB,Activity|transportation|T_LDV_M_GSL_EX,?,0.491066324,0.253712399,0.073313692,,,
Temoa,nz,AB,Activity|transportation|T_LDV_PHEV_CHRG,?,16.04905318,17.73321779,17.7270369,6.329827678,4.645657229,3.783329843
Temoa,nz,AB,Activity|transportation|T_MDV_CHRG,?,8.609583247,13.68775998,20.37447086,26.15746994,26.94995161,27.91741499
Temoa,nz,AB,Activity|transportation|T_MDV_T_BEV_N,?,5.01210076,9.460160527,15.4340752,20.5305455,21.88996599,23.43967084
Temoa,nz,AB,Activity|transportation|T_MDV_T_DSL_EX,?,6.561553088,5.115109879,2.304344885,,,
Temoa,nz,AB,Activity|transportation|T_MDV_T_GSL_EX,?,4.398702354,3.203754604,1.412438823,,,
Temoa,nz,AB,Activity|transportation|T_OFF,?,14.4856338,16.12413786,17.36828071,18.61954345,19.85241577,21.2578839
Temoa,nz,AB,Capacity|commercial,?,1060.694799,980.2322339,896.24442,817.0388039,741.241949,786.5779759
Temoa,nz,AB,Capacity|commercial|C_SPC_AC_ROOF-NEW,?,0.000985911,0.002092342,0.003119698,0.004222103,0.004595064,0.004757533
Temoa,nz,AB,Capacity|commercial|C_SPHC_HP_AIR-NEW,?,578.110179,638.7812758,684.2062048,710.9793505,741.1662502,786.4968493
Temoa,nz,AB,Capacity|commercial|C_SPHC_HP_GEO-NEW,?,0.000403919,0.000870456,0.001320271,0.001512611,0.001642348,0.001747274
Temoa,nz,AB,Capacity|commercial|C_SPH_ELC-EXS,?,58.59759588,23.43903835,,,,
Temoa,nz,AB,Capacity|commercial|C_SPH_ELC_BLR-NEW,?,0.004373574,0.00928862,0.014893229,0.016924773,0.01888567,0.020666895
Temoa,nz,AB,Capacity|commercial|C_SPH_ELC_RES-NEW,?,0.00434953,0.00926729,0.014882649,0.018691562,0.020068009,0.021261247
Temoa,nz,AB,Capacity|commercial|C_SPH_NG-EXS,?,423.9713567,317.9785175,211.9856783,105.9928392,,
Temoa,nz,AB,Capacity|commercial|C_SPH_NG_FRN-NEW,?,0.005554311,0.011883558,0.018320998,0.025263258,0.030507651,0.032693656
Temoa,nz,AB,Capacity|electricity,?,53.20531599,58.07516036,60.95873484,66.44367453,71.20629782,77.89655857
Temoa,nz,AB,Capacity|electricity|E_BAT_2H-EXS,?,0.37,0.37,0.256,,,
Temoa,nz,AB,Capacity|electricity|E_BAT_2H-NEW,?,0.000131619,0.000441258,0.002375039,0.004117442,0.005377075,0.007191015
Temoa,nz,AB,Capacity|electricity|E_BAT_4H-NEW,?,7.9262E-05,0.000252704,0.000855492,0.003163585,0.005081099,0.573444047
Temoa,nz,AB,Capacity|electricity|E_BIO_M-EXS,?,0.444,0.444,0.444,0.401,0.354,0.336
Temoa,nz,AB,Capacity|electricity|E_BIO_M-NEW,?,2.14065E-05,4.59084E-05,7.43745E-05,0.000105878,0.000139503,0.000175508
Temoa,nz,AB,Capacity|electricity|E_COAL-EXS,?,4.36,3.952,3.122,2.7,2.299,1.366
Temoa,nz,AB,Capacity|electricity|E_COAL_CCS_RFIT_90,?,1.75191E-05,3.64237E-05,5.67668E-05,7.77797E-05,9.84944E-05,0.000116305
Temoa,nz,AB,Capacity|electricity|E_COAL_CCS_RFIT_95,?,1.77066E-05,3.68231E-05,5.74367E-05,7.87325E-05,9.97123E-05,0.0001177
Temoa,nz,AB,Capacity|electricity|E_HYD_DLY-EXS,?,0.781,0.781,0.781,0.781,0.781,0.781
Temoa,nz,AB,Capacity|electricity|E_HYD_ROR-EXS,?,0.1464,0.1464,0.1464,0.1464,0.1464,0.1464
